Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20190920,MTX    ,201910     ,150040,10907,2,-,-, 
20190920,MTX    ,201910     ,150040,10907,2,-,-, 
20190920,MTX    ,201910     ,150040,10908,2,-,-, 
20190920,MTX    ,201910     ,150041,10908,22,-,-, 
20190920,MTX    ,201910     ,150041,10908,2,-,-, 
20190920,MTX    ,201910     ,150041,10908,2,-,-, 
20190920,MTX    ,201910     ,150043,10908,2,-,-, 
20190920,MTX    ,201910     ,150044,10908,2,-,-, 
20190920,MTX    ,201910     ,150044,10908,2,-,-, 
20190920,MTX    ,201910     ,150045,10908,2,-,-, 
20190920,MTX    ,201910     ,150046,10908,2,-,-, 
20190920,MTX    ,201910     ,150046,10908,6,-,-, 
20190920,MTX    ,201910     ,150056,10909,4,-,-, 
20190920,MTX    ,201910     ,150057,10909,10,-,-, 
20190920,MTX    ,201910     ,150057,10909,8,-,-, 
20190920,MTX    ,201910     ,150057,10909,10,-,-, 
20190920,MTX    ,201910     ,150057,10909,8,-,-, 
20190920,MTX    ,201910     ,150058,10909,8,-,-, 
20190920,MTX    ,201910     ,150058,10909,8,-,-, 
20190920,MTX    ,201910     ,150058,10909,46,-,-, 
20190920,MTX    ,201910     ,150058,10909,14,-,-, 
20190920,MTX    ,201910     ,150058,10909,4,-,-, 
20190920,MTX    ,201910     ,150058,10909,6,-,-, 
20190920,MTX    ,201910     ,150059,10908,2,-,-, 
20190920,MTX    ,201910     ,150059,10909,4,-,-, 
20190920,MTX    ,201910     ,150059,10909,2,-,-, 
20190920,MTX    ,201910     ,150059,10909,30,-,-, 
20190920,MTX    ,201910     ,150100,10910,4,-,-, 
20190920,MTX    ,201910     ,150100,10910,6,-,-, 
20190920,MTX    ,201910     ,150100,10909,2,-,-, 
20190920,MTX    ,201910     ,150100,10910,16,-,-, 
20190920,MTX    ,201910     ,150100,10910,2,-,-, 
20190920,MTX    ,201910     ,150100,10910,4,-,-, 
20190920,MTX    ,201910     ,150100,10910,8,-,-, 
20190920,MTX    ,201910     ,150100,10911,6,-,-, 
20190920,MTX    ,201910     ,150100,10911,2,-,-, 
20190920,MTX    ,201910     ,150100,10911,6,-,-, 
20190920,MTX    ,201910     ,150100,10911,10,-,-, 
20190920,MTX    ,201910     ,150100,10911,6,-,-, 
20190920,MTX    ,201910     ,150100,10911,2,-,-, 
20190920,MTX    ,201910     ,150100,10911,2,-,-, 
20190920,MTX    ,201910     ,150100,10911,2,-,-, 
20190920,MTX    ,201910     ,150100,10911,2,-,-, 
20190920,MTX    ,201910     ,150100,10910,2,-,-, 
20190920,MTX    ,201910     ,150101,10911,22,-,-, 
20190920,MTX    ,201910     ,150101,10911,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,4,-,-, 
20190920,MTX    ,201910     ,150101,10911,4,-,-, 
20190920,MTX    ,201910     ,150101,10912,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,8,-,-, 
20190920,MTX    ,201910     ,150101,10911,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,4,-,-, 
20190920,MTX    ,201910     ,150101,10912,14,-,-, 
20190920,MTX    ,201910     ,150101,10912,8,-,-, 
20190920,MTX    ,201910     ,150101,10912,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,2,-,-, 
20190920,MTX    ,201910     ,150101,10912,20,-,-, 
20190920,MTX    ,201910     ,150101,10912,20,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,4,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,4,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,6,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,4,-,-, 
20190920,MTX    ,201910     ,150101,10913,4,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,4,-,-, 
20190920,MTX    ,201910     ,150101,10913,50,-,-, 
20190920,MTX    ,201910     ,150101,10913,8,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,8,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,4,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10913,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10914,6,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,4,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,4,-,-, 
20190920,MTX    ,201910     ,150101,10915,4,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150101,10915,4,-,-, 
20190920,MTX    ,201910     ,150101,10915,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,4,-,-, 
20190920,MTX    ,201910     ,150102,10915,4,-,-, 
20190920,MTX    ,201910     ,150102,10915,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,4,-,-, 
20190920,MTX    ,201910     ,150102,10915,12,-,-, 
20190920,MTX    ,201910     ,150102,10915,6,-,-, 
20190920,MTX    ,201910     ,150102,10915,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,2,-,-, 
20190920,MTX    ,201910     ,150102,10916,4,-,-, 
20190920,MTX    ,201910     ,150102,10916,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,8,-,-, 
20190920,MTX    ,201910     ,150102,10916,4,-,-, 
20190920,MTX    ,201910     ,150102,10916,4,-,-, 
20190920,MTX    ,201910     ,150102,10916,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,4,-,-, 
20190920,MTX    ,201910     ,150102,10916,2,-,-, 
20190920,MTX    ,201910     ,150102,10915,4,-,-, 
20190920,MTX    ,201910     ,150102,10915,4,-,-, 
20190920,MTX    ,201910     ,150102,10916,6,-,-, 
20190920,MTX    ,201910     ,150102,10916,8,-,-, 
20190920,MTX    ,201910     ,150102,10916,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,12,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,6,-,-, 
20190920,MTX    ,201910     ,150103,10915,4,-,-, 
20190920,MTX    ,201910     ,150103,10914,4,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150103,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,6,-,-, 
20190920,MTX    ,201910     ,150104,10915,6,-,-, 
20190920,MTX    ,201910     ,150104,10916,2,-,-, 
20190920,MTX    ,201910     ,150104,10914,2,-,-, 
20190920,MTX    ,201910     ,150104,10915,2,-,-, 
20190920,MTX    ,201910     ,150105,10914,2,-,-, 
20190920,MTX    ,201910     ,150105,10915,2,-,-, 
20190920,MTX    ,201910     ,150106,10915,2,-,-, 
20190920,MTX    ,201910     ,150106,10915,2,-,-, 
20190920,MTX    ,201910     ,150106,10915,2,-,-, 
20190920,MTX    ,201910     ,150106,10914,2,-,-, 
20190920,MTX    ,201910     ,150106,10914,2,-,-, 
20190920,MTX    ,201910     ,150107,10915,4,-,-, 
20190920,MTX    ,201910     ,150108,10914,4,-,-, 
20190920,MTX    ,201910     ,150109,10914,2,-,-, 
20190920,MTX    ,201910     ,150109,10914,2,-,-, 
20190920,MTX    ,201910     ,150110,10915,4,-,-, 
20190920,MTX    ,201910     ,150111,10915,4,-,-, 
20190920,MTX    ,201910     ,150111,10915,4,-,-, 
20190920,MTX    ,201910     ,150112,10914,2,-,-, 
20190920,MTX    ,201910     ,150112,10915,6,-,-, 
20190920,MTX    ,201910     ,150112,10914,4,-,-, 
20190920,MTX    ,201910     ,150112,10914,2,-,-, 
20190920,MTX    ,201910     ,150113,10914,2,-,-, 
20190920,MTX    ,201910     ,150114,10914,2,-,-, 
20190920,MTX    ,201910     ,150114,10915,2,-,-, 
20190920,MTX    ,201910     ,150114,10914,2,-,-, 
20190920,MTX    ,201910     ,150115,10915,2,-,-, 
20190920,MTX    ,201910     ,150115,10914,2,-,-, 
20190920,MTX    ,201910     ,150115,10915,2,-,-, 
20190920,MTX    ,201910     ,150115,10915,2,-,-, 
20190920,MTX    ,201910     ,150115,10914,2,-,-, 
20190920,MTX    ,201910     ,150116,10915,2,-,-, 
20190920,MTX    ,201910     ,150116,10915,2,-,-, 
20190920,MTX    ,201910     ,150118,10914,4,-,-, 
20190920,MTX    ,201910     ,150118,10915,2,-,-, 
20190920,MTX    ,201910     ,150118,10915,2,-,-, 
20190920,MTX    ,201910     ,150118,10915,4,-,-, 
20190920,MTX    ,201910     ,150120,10915,2,-,-, 
20190920,MTX    ,201910     ,150120,10914,2,-,-, 
20190920,MTX    ,201910     ,150121,10915,6,-,-, 
20190920,MTX    ,201910     ,150121,10915,4,-,-, 
20190920,MTX    ,201910     ,150121,10915,8,-,-, 
20190920,MTX    ,201910     ,150122,10915,2,-,-, 
20190920,MTX    ,201910     ,150122,10915,4,-,-, 
20190920,MTX    ,201910     ,150123,10915,6,-,-, 
20190920,MTX    ,201910     ,150123,10916,2,-,-, 
20190920,MTX    ,201910     ,150123,10916,2,-,-, 
20190920,MTX    ,201910     ,150123,10916,2,-,-, 
20190920,MTX    ,201910     ,150123,10915,2,-,-, 
20190920,MTX    ,201910     ,150124,10916,4,-,-, 
20190920,MTX    ,201910     ,150124,10915,2,-,-, 
20190920,MTX    ,201910     ,150124,10916,4,-,-, 
20190920,MTX    ,201910     ,150124,10915,2,-,-, 
20190920,MTX    ,201910     ,150124,10916,10,-,-, 
20190920,MTX    ,201910     ,150124,10917,2,-,-, 
20190920,MTX    ,201910     ,150124,10916,2,-,-, 
20190920,MTX    ,201910     ,150125,10916,2,-,-, 
20190920,MTX    ,201910     ,150125,10917,2,-,-, 
20190920,MTX    ,201910     ,150125,10917,2,-,-, 
20190920,MTX    ,201910     ,150125,10916,2,-,-, 
20190920,MTX    ,201910     ,150125,10916,2,-,-, 
20190920,MTX    ,201910     ,150126,10916,2,-,-, 
20190920,MTX    ,201910     ,150126,10916,2,-,-, 
20190920,MTX    ,201910     ,150126,10917,2,-,-, 
